Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Irradiance/100,Power(W),Efficiency(%)
00:50:20,4.6470,2.0004,7.8299,1.6834,77.72,77.69,835,8.35,9.3,0.86
00:50:30,4.6460,2.0003,7.8557,1.6890,77.97,77.95,839,8.39,9.29,0.86
00:50:40,4.6460,2.0006,7.8815,1.6945,78.23,78.21,835,8.35,9.29,0.86
00:50:50,4.6460,2.0004,7.9073,1.7001,78.48,78.46,838,8.38,9.29,0.86
00:51:00,4.6460,2.0000,7.9331,1.7056,78.74,78.72,837,8.37,9.29,0.86
00:51:10,4.6460,2.0002,7.9590,1.7112,79.00,78.97,839,8.39,9.29,0.86
00:51:20,4.6450,2.0000,7.9848,1.7167,79.25,79.23,839,8.39,9.29,0.86
00:51:30,4.6450,2.0002,8.0106,1.7223,79.51,79.49,837,8.37,9.29,0.86
00:51:40,4.6440,2.0005,8.0364,1.7278,79.77,79.74,835,8.35,9.29,0.86
00:51:50,4.6440,1.9997,8.0622,1.7334,80.02,80.00,832,8.32,9.29,0.87
00:52:00,4.6440,2.0004,8.0880,1.7390,80.28,80.26,835,8.35,9.29,0.86
00:52:10,4.6440,2.0000,8.1138,1.7445,80.53,80.51,838,8.38,9.29,0.86
00:52:20,4.6440,2.0000,8.1396,1.7501,80.79,80.77,837,8.37,9.29,0.86
00:52:30,4.6440,2.0003,8.1654,1.7556,81.05,81.03,833,8.33,9.29,0.86
00:52:40,4.6440,1.9999,8.1912,1.7612,81.30,81.28,836,8.36,9.29,0.86
00:52:50,4.6440,1.9999,8.2170,1.7667,81.56,81.54,838,8.38,9.29,0.86
00:53:00,4.6440,2.0003,8.2428,1.7723,81.81,81.80,836,8.36,9.29,0.86
00:53:10,4.6450,2.0001,8.2686,1.7778,82.07,82.05,837,8.37,9.29,0.86
00:53:20,4.6450,2.0001,8.2944,1.7834,82.33,82.31,839,8.39,9.29,0.86
00:53:30,4.6460,2.0004,8.3202,1.7890,82.58,82.56,837,8.37,9.29,0.86
00:53:40,4.6460,2.0001,8.3460,1.7945,82.84,82.82,837,8.37,9.29,0.86
00:53:50,4.6460,2.0000,8.3718,1.8001,83.10,83.08,835,8.35,9.29,0.86
00:54:00,4.6460,2.0003,8.3976,1.8056,83.35,83.33,837,8.37,9.29,0.86
00:54:10,4.6460,1.9999,8.4235,1.8112,83.61,83.59,836,8.36,9.29,0.86
00:54:20,4.6450,2.0001,8.4493,1.8167,83.86,83.85,838,8.38,9.29,0.86
00:54:30,4.6450,1.9998,8.4751,1.8223,84.12,84.10,838,8.38,9.29,0.86
00:54:40,4.6450,1.9997,8.5009,1.8278,84.38,84.36,835,8.35,9.29,0.86
00:54:50,4.6440,1.9999,8.5267,1.8334,84.63,84.62,833,8.33,9.29,0.86
00:55:00,4.6440,1.9997,8.5525,1.8390,84.89,84.87,836,8.36,9.29,0.86
00:55:10,4.6440,2.0000,8.5783,1.8445,85.14,85.13,832,8.32,9.29,0.87
00:55:20,4.6430,2.0000,8.6041,1.8501,85.40,85.39,834,8.34,9.29,0.86
00:55:30,4.6430,1.9998,8.6298,1.8556,85.66,85.64,836,8.36,9.29,0.86
00:55:40,4.6430,1.9999,8.6556,1.8612,85.91,85.90,836,8.36,9.29,0.86
00:55:50,4.6430,1.9998,8.6814,1.8667,86.17,86.15,839,8.39,9.29,0.86
00:56:00,4.6440,2.0000,8.7072,1.8723,86.42,86.41,837,8.37,9.29,0.86
00:56:10,4.6440,1.9999,8.7330,1.8778,86.68,86.67,839,8.39,9.29,0.86
00:56:20,4.6440,2.0000,8.7588,1.8834,86.94,86.92,836,8.36,9.29,0.86
00:56:30,4.6440,2.0000,8.7846,1.8890,87.19,87.18,838,8.38,9.29,0.86
00:56:40,4.6450,1.9998,8.8104,1.8945,87.45,87.44,840,8.4,9.29,0.86
00:56:50,4.6450,2.0000,8.8362,1.9001,87.70,87.69,838,8.38,9.29,0.86
00:57:00,4.6450,1.9995,8.8620,1.9056,87.96,87.95,834,8.34,9.29,0.86
00:57:10,4.6440,1.9997,8.8878,1.9112,88.22,88.21,837,8.37,9.29,0.86
00:57:20,4.6440,2.0000,8.9136,1.9167,88.47,88.46,835,8.35,9.29,0.86
00:57:30,4.6440,2.0005,8.9394,1.9223,88.73,88.72,834,8.34,9.29,0.86
00:57:40,4.6440,2.0000,8.9652,1.9278,88.99,88.97,832,8.32,9.29,0.87
00:57:50,4.6440,1.9999,8.9910,1.9334,89.24,89.23,834,8.34,9.29,0.86
00:58:00,4.6440,1.9999,9.0168,1.9390,89.50,89.49,836,8.36,9.29,0.86
00:58:10,4.6440,2.0000,9.0426,1.9445,89.75,89.74,835,8.35,9.29,0.86
00:58:20,4.6440,1.9997,9.0684,1.9501,90.01,90.00,835,8.35,9.29,0.86
00:58:30,4.6450,2.0001,9.0942,1.9556,90.27,90.26,839,8.39,9.29,0.86
00:58:40,4.6450,1.9995,9.1200,1.9612,90.52,90.51,836,8.36,9.29,0.86
00:58:50,4.6450,2.0001,9.1458,1.9667,90.78,90.77,841,8.41,9.29,0.86
00:59:00,4.6460,2.0000,9.1717,1.9723,91.03,91.03,834,8.34,9.29,0.86
00:59:10,4.6450,1.9999,9.1975,1.9778,91.29,91.28,833,8.33,9.29,0.86
00:59:20,4.6450,2.0000,9.2233,1.9834,91.55,91.54,835,8.35,9.29,0.86
00:59:30,4.6450,2.0002,9.2491,1.9890,91.80,91.80,828,8.28,9.29,0.87
00:59:40,4.6450,1.9998,9.2749,1.9945,92.06,92.05,834,8.34,9.29,0.86
00:59:50,4.6450,2.0000,9.3007,2.0001,92.31,92.31,838,8.38,9.29,0.86
01:00:00,4.6450,2.0004,9.3265,2.0056,92.57,92.56,835,8.35,9.29,0.86
01:00:10,4.6450,1.9998,9.3523,2.0112,92.83,92.82,839,8.39,9.29,0.86
01:00:20,4.6450,1.9999,9.3781,2.0167,93.08,93.08,840,8.4,9.29,0.86
01:00:30,4.6450,2.0003,9.4039,2.0223,93.34,93.33,838,8.38,9.29,0.86
01:00:40,4.6450,1.9999,9.4297,2.0278,93.60,93.59,837,8.37,9.29,0.86
01:00:50,4.6450,1.9998,9.4555,2.0334,93.85,93.85,839,8.39,9.29,0.86
01:01:00,4.6450,1.9999,9.4813,2.0390,94.11,94.10,840,8.4,9.29,0.86
01:01:10,4.6450,1.9996,9.5071,2.0445,94.36,94.36,839,8.39,9.29,0.86
01:01:20,4.6460,1.9995,9.5329,2.0501,94.62,94.62,835,8.35,9.29,0.86
01:01:30,4.6460,2.0001,9.5587,2.0556,94.88,94.87,839,8.39,9.29,0.86
01:01:40,4.6460,2.0000,9.5846,2.0612,95.13,95.13,840,8.4,9.29,0.86
01:01:50,4.6460,2.0003,9.6104,2.0667,95.39,95.38,837,8.37,9.29,0.86
01:02:00,4.6460,1.9999,9.6362,2.0723,95.64,95.64,837,8.37,9.29,0.86
01:02:10,4.6460,1.9998,9.6620,2.0778,95.90,95.90,837,8.37,9.29,0.86
01:02:20,4.6460,2.0000,9.6878,2.0834,96.16,96.15,838,8.38,9.29,0.86
01:02:30,4.6460,1.9999,9.7136,2.0889,96.41,96.41,836,8.36,9.29,0.86
01:02:40,4.6460,1.9998,9.7394,2.0945,96.67,96.67,836,8.36,9.29,0.86
01:02:50,4.6460,2.0007,9.7652,2.1001,96.93,96.92,840,8.4,9.3,0.86
01:03:00,4.6460,1.9998,9.7910,2.1056,97.18,97.18,844,8.44,9.29,0.85
01:03:10,4.6460,2.0000,9.8169,2.1112,97.44,97.44,840,8.4,9.29,0.86
01:03:20,4.6460,2.0001,9.8427,2.1167,97.69,97.69,838,8.38,9.29,0.86
01:03:30,4.6460,2.0001,9.8685,2.1223,97.95,97.95,840,8.4,9.29,0.86
01:03:40,4.6460,1.9998,9.8943,2.1278,98.21,98.20,839,8.39,9.29,0.86
01:03:50,4.6460,2.0001,9.9201,2.1334,98.46,98.46,833,8.33,9.29,0.86
01:04:00,4.6450,2.0004,9.9459,2.1390,98.72,98.72,838,8.38,9.29,0.86
01:04:10,4.6450,2.0004,9.9717,2.1445,98.98,98.97,838,8.38,9.29,0.86
01:04:20,4.6450,2.0002,9.9975,2.1501,99.23,99.23,839,8.39,9.29,0.86
01:04:30,4.6450,2.0012,10.0234,2.1556,99.49,99.49,838,8.38,9.3,0.86
01:04:40,4.6460,1.9992,10.0492,2.1612,99.74,99.74,840,8.4,9.29,0.86
01:04:50,4.6460,2.0000,10.0750,2.1667,100.00,100.00,842,8.42,9.29,0.86
01:05:00,4.6290,1.9996,10.1007,2.1723,100.26,100.26,847,8.47,9.26,0.85
